dreg	ab	as	riskav	horizon	age	age2	nwhite	female	college	married	children	empl	selfempl	retired	advisor	wkfinance	health_exc	nfininst	future_bett	w95	w98	w01	w04	w07	w10	w13	w16	effcohort	spret	vix	inco	inco2	wthfin	wthfin2	wthreal	wthreal2	debt	debt2	home	peso
1	.5049917	.3730768	2	3	.6	.36	0	0	1	1	0	0	1	0	0	0	0	5	0	1	0	0	0	0	0	0	0	.1295353	.1011292	13.70222	1.109816	1.231691	.4918006	.2418678	1.641761	2.69538	0	0	1	78.27948
1	.0798793	.3420165	2	3	.54	.2916	0	0	1	1	0	1	0	0	0	0	0	4	1	1	0	0	0	0	0	0	0	.1299602	.1011292	13.70222	.0861777	.0074266	.2032184	.0412977	.3172456	.1006448	.0344014	.0011835	1	22566.66
1	.5010076	.2865938	1	4	.51	.2601	0	0	1	1	0	0	1	0	0	1	1	4	1	1	0	0	0	0	0	0	0	.1299589	.1011292	13.70222	1.320902	1.744782	1.907828	3.639807	3.212183	10.31812	.0567583	.0032215	1	148.0367
1	.231468	.3107907	2	3	.38	.1444	0	0	1	0	0	0	1	0	0	0	0	5	0	1	0	0	0	0	0	0	0	.1341408	.1011292	13.70222	.10436	.010891	.5378258	.2892566	.5574875	.3107923	.0353671	.0012508	1	7435.254
1	.3932904	.5936912	2	1	.72	.5184	0	0	1	1	0	1	0	0	0	1	0	4	1	1	0	0	0	0	0	0	0	.1281848	.1011292	13.70222	.2970347	.0882296	1.725824	2.978469	1.811096	3.280068	0	0	1	3698.243
1	0	.5909389	2	3	.53	.2809	0	0	1	1	0	0	1	0	0	0	0	2	0	1	0	0	0	0	0	0	0	.129951	.1011292	13.70222	.3715636	.1380595	.2658965	.0707009	.811641	.6587611	.3364722	.1132136	1	3208.957
2	0	0	2	2	.47	.2209	0	0	1	1	1	0	1	0	0	0	0	2	1	1	0	0	0	0	0	0	0	.1303443	.1011292	13.70222	.5007753	.2507759	.1090607	.0118942	.4794773	.2298985	0	0	1	14928.97
1	0	.9987396	2	3	.69	.4761	0	0	1	0	0	0	0	1	0	0	1	4	0	1	0	0	0	0	0	0	0	.1285418	.1011292	13.70222	.0083649	.00007	1.792811	3.21417	1.867857	3.488891	.5525048	.3052616	0	965.7089
1	0	.1056338	3	3	.68	.4624	0	1	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	.1286907	.1011292	13.70222	.0168571	.0002842	.0552455	.0030521	.1796513	.0322746	0	0	1	2217.853
1	0	.0233009	1	1	.27	.0729	0	0	0	1	1	1	0	0	0	0	1	3	0	1	0	0	0	0	0	0	0	.1466024	.1011292	13.70222	.0428679	.0018377	.3382991	.1144463	.3577861	.1280109	.0386436	.0014933	1	14257.86
1	.0172418	.8968894	2	3	.57	.3249	0	0	0	1	0	0	1	0	0	0	0	2	0	1	0	0	0	0	0	0	0	.1298411	.1011292	13.70222	.4323018	.1868848	1.260941	1.589972	1.496838	2.240523	0	0	1	4638.952
2	0	0	2	4	.51	.2601	0	0	1	0	0	0	1	0	0	1	0	5	1	1	0	0	0	0	0	0	0	.1299589	.1011292	13.70222	.0610951	.0037326	.0883094	.0077985	.9595517	.9207395	.1670387	.0279019	1	5830.893
1	0	.7242644	1	1	.45	.2025	0	0	1	1	1	1	0	0	0	1	0	8	0	1	0	0	0	0	0	0	0	.1306428	.1011292	13.70222	.1449658	.0210151	.23246	.0540377	.3553639	.1262835	.1722712	.0296774	1	4732.941
1	0	.9013452	1	4	.34	.1156	0	0	0	1	1	1	0	0	0	0	0	7	0	1	0	0	0	0	0	0	0	.1378371	.1011292	13.70222	.0633503	.0040133	.0571371	.0032647	.1059812	.011232	.1016537	.0103335	1	54274.16
1	.0108625	.0218336	2	3	.33	.1089	0	0	0	1	0	1	0	0	0	0	1	8	0	1	0	0	0	0	0	0	0	.138923	.1011292	13.70222	.0468836	.0021981	.1689999	.028561	.1857489	.0345026	.0657877	.004328	1	15805.73
1	0	.5407825	3	2	.44	.1936	0	1	0	0	0	1	0	0	0	0	1	3	0	1	0	0	0	0	0	0	0	.1308941	.1011292	13.70222	.0344014	.0011835	.0585708	.0034305	.0632752	.0040037	.10436	.010891	1	35786.8
1	0	.8473597	2	3	.52	.2704	0	0	1	1	0	0	1	0	0	1	1	7	0	1	0	0	0	0	0	0	0	.1299376	.1011292	13.70222	.3364722	.1132136	1.533852	2.352702	2.771588	7.681701	.6621724	.4384723	1	113.4696
2	0	0	3	4	.7	.49	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	.128407	.1011292	13.70222	.0712969	.0050832	.1621189	.0262825	.5658817	.3202221	0	0	1	3445.561
1	0	.4785244	1	1	.53	.2809	0	0	0	1	0	0	1	0	0	0	1	3	0	1	0	0	0	0	0	0	0	.129951	.1011292	13.70222	.10436	.010891	.5739694	.3294409	1.16792	1.364038	.1133287	.0128434	1	7555.565
